whisky_link,whisky_name,whisky_age,bottling_date,whisky_name_suffix,alcohol_pct
https://www.whisky.com/whisky-database/details/lagavulin.html,Lagavulin,16Y,,,- 43%
https://www.whisky.com/whisky-database/details/lagavulin-7.html,Lagavulin,16Y,,,- 43%
https://www.whisky.com/whisky-database/details/lagavulin-lagavulin.html,Lagavulin,16Y,,,- 43%
https://www.whisky.com/whisky-database/details/ardbeg-ten.html,Ardbeg,10Y,,TEN,- 46%
https://www.whisky.com/whisky-database/details/highland-park.html,Highland Park,12Y,,,- 40%
https://www.whisky.com/whisky-database/details/miniatur-highland-park.html,Highland Park,12Y,,,- 40%
https://www.whisky.com/whisky-database/details/highland-park-new-design.html,Highland Park,12Y,,Viking Honour,- 40%
https://www.whisky.com/whisky-database/details/balvenie-double-wood.html,Balvenie,12Y,,Double Wood,- 40%
https://www.whisky.com/whisky-database/details/balvenie-balvenie-double-wood-1.html,Balvenie,12Y,,Double Wood,- 40%
https://www.whisky.com/whisky-database/details/miniatur-balvenie-double-wood-2.html,Balvenie,12Y,,Double Wood,- 40%
https://www.whisky.com/whisky-database/details/balvenie-double-wood-with-2-glasses-1.html,Balvenie,12Y,,Double Wood with 2 Glasses,- 40%
https://www.whisky.com/whisky-database/details/laphroaig-1.html,Laphroaig,10Y,,,- 40%
https://www.whisky.com/whisky-database/details/miniatur-laphroaig-1.html,Laphroaig,10Y,,,- 40%
https://www.whisky.com/whisky-database/details/laphroaig-boot-pack.html,Laphroaig,10Y,,Boot Pack,- 40%
https://www.whisky.com/whisky-database/details/laphroaig-with-2-glasses.html,Laphroaig,10Y,,mit 2 Gläsern,- 40%
https://www.whisky.com/whisky-database/details/laphroaig-twisted-tube.html,Laphroaig,10Y,,Twisted Tube,- 40%
https://www.whisky.com/whisky-database/details/ardbeg-uigeadail.html,Ardbeg,,/ 2013,Uigeadail,- 54.2%
https://www.whisky.com/whisky-database/details/glendronach.html,Glendronach,12Y,,,- 43%
https://www.whisky.com/whisky-database/details/glendronach-with-stielglas.html,Glendronach,12Y,,with Stielglas,- 43%
https://www.whisky.com/whisky-database/details/bowmore-new-cardboard-box.html,Bowmore,12Y,,(new cardboard box),- 40%
https://www.whisky.com/whisky-database/details/bowmore-bowmore-2.html,Bowmore,12Y,,,- 40%
https://www.whisky.com/whisky-database/details/glenmorangie-giraffe.html,Glenmorangie,10Y,,Giraffe,- 40%
https://www.whisky.com/whisky-database/details/glenmorangie-the-original.html,Glenmorangie,10Y,,The Original,- 40%
